"","col"
"Kelly Slater",1
"Jordy Smith",5
"Mick Fanning",3
"Dane Reynolds",3
"Taj Burrow",5
"Bede Durbidge",2
"Owen Wright",5
"Adrian Buchan",9
"Jeremy Flores",25
"Adriano de Souza",13
"Michel Bourez",13
"Damien Hobgood",9
"Jadson Andre",13
"Kieren Perrow",5
"Chris Davidson",9
"C.J. Hobgood",9
"Taylor Knox",13
"Andy Irons",13
"Freddy Patacchia Jr.",25
"Bobby Martinez",25
"Tiago Pires",13
"Patrick Gudauskas",25
"Brett Simpson",13
"Matt Wilkinson",13
"Joel Parkinson",3
"Dusty Payne",13
"Adam Melling",13
"Daniel Ross",25
"Travis Logie",25
"Kai Otton",25
"Tom Whitaker",25
"Luke Stedman",13
"Roy Powers",25
"Luke Munro",25
"Gabe Kling",13
