"","GoldCoast","MargaretRiver","BellsBeach","NewZealand","Rio","USOpen","France","Cascais"
"Carissa Moore","3","1","1","5","3","1","3","1"
"Tyler Wright","1","2","2","9","1","3","2","5"
"Sally Fitzgibbons","2","3","5","3","2","5","1","2"
"Courtney Conlogue","5","5","3","1","5","2","5","5"
"Stephanie Gilmore","3","3","5","3","NA","9","5","9"
"Coco Ho","9","5","13","2","9","5","9","3"
"Lakey Peterson","9","9","3","5","5","9","3","9"
"Bianca Buitendag","5","9","13","9","3","5","13","5"
"Pauline Ado","5","13","9","13","9","3","5","9"
"Laura Enever","9","9","13","9","5","5","13","13"
"Alana Blanchard","5","5","9","13","13","9","9","13"
"Paige Hareb","13","5","5","13","9","13","13","5"
"Malia Manuel","13","13","9","5","5","13","9","13"
"Sage Erickson","13","13","13","9","13","13","5","3"
"Silvana Lima","9","13","5","13","13","9","13","9"
"Rebecca Woods","13","13","13","5","13","13","13","13"
"Sofia Mulanovich","13","13","13","13","NA","13","9","13"
"Alize Arnaud","NA","NA","NA","NA","13","NA","NA","NA"
"Philippa Anderson","NA","NA","NA","NA","13","NA","NA","NA"
